time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range
260096,863.7,5151,50,128.4335235,127,0.001498919063649211,1.075864315032959,-0.8171983674952858,-0.004398675810080022,2394,0.9672195911407471,0.020987548,10.53810476315649,0.16966488486842105,0.25
262144,872.75,5153,50,131.5847079,128,0.001498919063649211,16.957706451416016,-0.9020218947216084,-0.009073153165732756,2413,0.8394380211830139,0.023745123,51.83086292053524,0.08275082236842106,0.25
264192,883.29,5156,51,132.01585435,129,0.001498919063649211,9.408564567565918,-0.8579293520827043,-0.003083408038563855,2432,0.8538857102394104,0.02410737,39.66928404255917,0.09917249177631579,0.25
266240,882.59,5158,51,134.70674541999998,130,0.001498919063649211,1.0415682792663574,-0.9657733671759304,-0.011053678068013764,2451,0.9790114164352417,0.011215306,3.2643946103359522,0.05702611019736842,0.25
268288,890.51,5160,51,135.67576582,131,0.001498919063649211,40.90278244018555,-0.7806430196291522,-0.0041953078440488565,2470,0.8865175843238831,0.00844588,59.172040826395936,0.08861019736842106,0.25
270336,890.51,5163,52,136.06936485999998,132,0.001498919063649211,0.5214418172836304,-0.9839101629821878,-0.013699928508446502,2489,0.989316999912262,0.038968686,1.6811265165084286,0.1874486019736842,0.25
272384,890.51,5156,52,135.69463885,133,0.001498919063649211,0.11675620079040527,-0.9845403252463591,-0.007753752793896159,2508,0.9922053217887878,0.010576269,0.9286415560269042,0.08609169407894737,0.25
274432,881.93,5147,53,135.00465607999996,134,0.001498919063649211,0.26827529072761536,-0.769901830899088,-0.006540231774316022,2527,0.9916931986808777,0.008458056,1.042693730443716,0.06812808388157894,0.25
276480,873.74,5149,53,134.83079133,135,0.001498919063649211,0.7130555510520935,-0.8642185949965527,-0.0034374669990747384,2546,0.8743278980255127,0.011048281,31.044019887321873,0.05047286184210526,0.25
278528,851.8,5152,54,136.71348851,136,0.001498919063649211,23.024459838867188,-0.923315828568057,-0.009209964490238283,2565,0.8730951547622681,0.026997812,69.55316482092205,0.16200657894736842,0.25
280576,813.79,5143,54,135.76371863999998,137,0.001498919063649211,23.098485946655273,-0.7726210947883757,-0.004003380250651389,2584,0.8146889209747314,0.020159815,91.92636794792979,0.07581208881578948,0.25
282624,805.95,5144,54,136.76402744,138,0.001498919063649211,21.3491268157959,-0.8507864843857916,-0.005026149990858118,2603,0.8260360956192017,0.013559822,105.15558890292519,0.08015522203947369,0.25
284672,805.95,5137,55,136.53222875,139,0.001498919063649211,25.230037689208984,-0.8446359559893608,-0.005326366986417652,2622,0.8092639446258545,0.0173264,57.445295358958994,0.12502569901315788,0.25
286720,806.06,5139,55,136.77243634,140,0.001498919063649211,2.2015092372894287,-0.9184439994002643,-0.00790040379414629,2641,0.9328291416168213,0.014131574,8.628041753643437,0.07362767269736842,0.25
288768,798.93,5141,56,136.75045079,141,0.001498919063649211,2.0973498821258545,-0.8476339962921644,-0.006084547801660129,2660,0.9371336698532104,0.0152626,24.919125321664307,0.09721936677631579,0.25
290816,790.17,5144,56,135.29165359,142,0.001498919063649211,7.26909875869751,-0.8676995113492012,-0.003139765297467085,2679,0.807857871055603,0.034085434,75.68618236090008,0.12538548519736842,0.25
292864,790.17,5145,56,136.12167283,143,0.001498919063649211,3.008514404296875,-0.9899210063250441,-0.007617921957525572,2698,0.9091033339500427,0.014421187,16.174574810423348,0.10022615131578948,0.25
294912,773.05,5148,57,132.76125585000003,144,0.001498919063649211,0.24060675501823425,-0.9336334482619637,-0.0045565638636042806,2717,0.9823894500732422,0.033989627,1.706662994074194,0.20325349506578946,0.25
296960,741.73,5151,57,130.34602089999998,145,0.001498919063649211,1.139154076576233,-0.8866087602157342,-0.00978216300197681,2736,0.955423891544342,0.017815057,9.635450146700206,0.15383429276315788,0.25
299008,725.77,5152,58,128.5540128,146,0.001498919063649211,18.08354949951172,-0.8618938589566633,-0.0029015740407263174,2755,0.8934012651443481,0.006931327,66.94772565992255,0.03397409539473684,0.25
301056,709.85,5154,58,126.25792059,147,0.001498919063649211,11.299681663513184,-0.9026045018905088,-0.008613949425604292,2774,0.9150996804237366,0.010369696,47.802235421381496,0.053145559210526314,0.25
303104,702.23,5145,58,124.85891315,148,0.001498919063649211,3.0568525791168213,-0.9269350378921157,-0.005443264607732233,2793,0.9371737241744995,0.014066322,16.250208169221878,0.061497738486842105,0.25
305152,701.25,5141,59,125.80137076000001,149,0.001498919063649211,3.6610000133514404,-0.9511219008188498,-0.0039034198500877736,2812,0.9140145778656006,0.024182662,17.056421184226085,0.0849352384868421,0.25
307200,700.18,5137,59,124.02480358000001,150,0.001498919063649211,0.9879997968673706,-1.0081158833284127,-0.004295585680091263,2831,0.9315966367721558,0.010109918,10.496976443811468,0.05828536184210526,0.25
309248,700.18,5137,60,123.72615204,151,0.001498919063649211,0.7030391693115234,-0.9855918225489164,-0.006984295920885511,2850,0.9770265817642212,0.01752119,3.469546939981611,0.05707750822368421,0.25
311296,693.59,5133,60,121.83236067,152,0.001498919063649211,0.22860027849674225,-0.9027384209789728,-0.005971731299436406,2869,0.9191940426826477,0.0051271254,8.547716772870013,0.09459806743421052,0.25
313344,684.47,5135,61,121.45990591,153,0.001498919063649211,2.823737621307373,-0.9386022534025343,-0.005815588437192338,2888,0.9287593364715576,0.006108979,26.161629956019553,0.021767064144736843,0.25
315392,676.68,5136,61,119.90721338999998,154,0.001498919063649211,1.7074460983276367,-0.9804532692620629,-0.011246642161399666,2907,0.9269973039627075,0.00916419,11.68225220394762,0.03533614309210526,0.25
317440,670.65,5138,61,120.61646951999997,155,0.001498919063649211,2.280952215194702,-0.9399027840087288,-0.00966336338560244,2926,0.906120777130127,0.014425484,30.17979391625053,0.04137541118421053,0.25
319488,652.64,5140,62,119.34922726999999,156,0.001498919063649211,6.9213128089904785,-0.9552116154840118,-0.0030596528147151204,2945,0.7485712766647339,0.015887635,125.16318788653926,0.04345703125,0.25
321536,652.64,5142,62,119.39887617999999,157,0.001498919063649211,5.813138008117676,-0.957584432865444,-0.009750327130620318,2964,0.9584575891494751,0.02008272,20.27302542485689,0.04122121710526316,0.25
323584,651.27,5141,62,117.31011838999999,158,0.001498919063649211,0.41856497526168823,-0.9749795296474507,-0.011514224194749994,2983,0.8689881563186646,0.016453713,8.98868325705591,0.09580592105263158,0.25
325632,659.05,5143,63,118.67161665999998,159,0.001498919063649211,4.1967997550964355,-0.9277454104862715,-0.006012136550117775,3002,0.9038664698600769,0.007835277,30.24888817416994,0.07015830592105263,0.25
327680,648.1,5144,63,115.52691184999999,160,0.001498919063649211,0.6085141897201538,-0.9473217349303397,-0.005746809624772715,3021,0.9665818810462952,0.01092737,5.490132880446158,0.07630037006578948,0.25
329728,648.1,5142,64,116.08364572999999,161,0.001498919063649211,2.141479969024658,-0.9489187833509947,-0.01046491667665051,3040,0.9269187450408936,0.027868275,12.409651078675923,0.04083573190789474,0.25
331776,648.19,5136,64,113.77475447999997,162,0.001498919063649211,0.9688148498535156,-1.0165427480089038,-0.007610546821716095,3059,0.978816568851471,0.025930833,3.1075726002454758,0.08074629934210527,0.25
333824,648.19,5137,64,114.27297384999999,163,0.001498919063649211,4.259289741516113,-1.0031709604357417,-0.0057364746830181074,3078,0.916429877281189,0.008368843,21.129721407827578,0.1343287417763158,0.25
335872,648.19,5133,65,113.80210549999998,164,0.001498919063649211,0.39561623334884644,-1.0181370424596887,-0.008772452254657094,3097,0.9763227701187134,0.019268502,2.096699971901743,0.18775699013157895,0.25
337920,641.14,5129,65,114.06572926999998,165,0.001498919063649211,0.12306909263134003,-0.991611563061413,-0.010297382271873127,3116,0.9609532952308655,0.025868043,3.877905164502169,0.26822060032894735,0.25
339968,648.95,5130,66,115.31053799999998,166,0.001498919063649211,0.9906682372093201,-0.9323626764510807,-0.010076191913532583,3135,0.8431380391120911,0.01528649,26.705670075981242,0.05083264802631579,0.25
342016,649.04,5131,66,115.78773456999997,167,0.001498919063649211,0.49192261695861816,-1.0056224430077954,-0.009223066467951102,3154,0.988680362701416,0.01448762,1.810712483172354,0.21062911184210525,0.25
344064,662.96,5133,67,113.44866761999998,168,0.001498919063649211,4.136221885681152,-0.9374030244193579,-0.003086143286629139,3173,0.9629423022270203,0.013254243,11.440475819926514,0.09282483552631579,0.25
346112,670.98,5134,67,114.61081898999998,169,0.001498919063649211,0.5580868124961853,-0.9927104437037518,-0.009211274733962981,3192,0.9830494523048401,0.01377543,2.6708922535181046,0.12132504111842106,0.25
348160,684.77,5135,67,112.58662364000001,170,0.001498919063649211,0.5607808828353882,-0.8850030553968329,-0.008395718963583931,3211,0.9792433381080627,0.014040604,3.2678330113229,0.0712633634868421,0.25
350208,694.21,5123,68,115.84827558000002,171,0.001498919063649211,0.3920959532260895,-0.927118212768906,-0.00929776947228483,3230,0.933232843875885,0.01584921,5.624342794088941,0.12826377467105263,0.25
352256,701.94,5125,68,116.93698549000003,172,0.001498919063649211,3.1717817783355713,-0.9678573980927467,-0.003361422778413582,3249,0.9000690579414368,0.02246554,21.017102572478745,0.10819284539473684,0.25
354304,717.7,5125,69,117.16981408000001,173,0.001498919063649211,0.8873878717422485,-0.9507892069063688,-0.0105637022490172,3268,0.9796814918518066,0.023469254,3.6243669869084107,0.1435546875,0.25
356352,709.27,5127,69,117.53730355000002,174,0.001498919063649211,0.5460981130599976,-0.95635857589935,-0.005085516207863724,3287,0.9898595213890076,0.032586627,1.6692554037037648,0.07010690789473684,0.25
358400,715.91,5128,69,117.60681523,175,0.001498919063649211,6.959005832672119,-0.9827044712085473,-0.006548219198042429,3306,0.874497652053833,0.021904271,53.398963608239825,0.0757092927631579,0.25
360448,724.39,5125,70,118.97356798000001,176,0.001498919063649211,0.2242920696735382,-1.0073999793905961,-0.008692747110647983,3325,0.9860366582870483,0.017489467,2.4446223421316398,0.06365645559210527,0.25
362496,716.57,5117,70,120.11979760000003,177,0.001498919063649211,0.4629507064819336,-0.9856520738256606,-0.0037827943880601148,3344,0.9804226160049438,0.0086126,2.6281065717339516,0.037263569078947366,0.25
364544,717.04,5110,71,120.60167579999998,178,0.001498919063649211,3.797762155532837,-0.9708735319344621,-0.004940262866990739,3363,0.94411301612854,0.013494618,11.556853728859048,0.03546463815789474,0.25
366592,725.43,5110,71,122.22817275999999,179,0.001498919063649211,7.387434959411621,-0.9744106142928726,-0.0035718498187825866,3382,0.9545606374740601,0.006704099,15.922210831391183,0.02767783717105263,0.25
368640,734.16,5104,72,123.34214363999999,180,0.001498919063649211,0.2620644271373749,-0.9680124391850672,-0.0051010269978034655,3401,0.9956727027893066,0.019372717,0.8986084647476673,0.09966077302631579,0.25
370688,745.74,5099,72,125.27760064999998,181,0.001498919063649211,0.4084209203720093,-0.9551497568425379,-0.011470864006122084,3420,0.9894580841064453,0.014827646,1.7210620420151634,0.07373046875,0.25
372736,753.83,5101,73,126.28299879999997,182,0.001498919063649211,7.9903669357299805,-0.7477926827575031,-0.012145323939253822,3439,0.9089663624763489,0.03403898,54.8229418114612,0.21630859375,0.25
374784,753.34,5094,73,124.85933290000001,183,0.001498919063649211,0.6994825601577759,-0.830020288495641,-0.01443222830513198,3458,0.8366639614105225,0.014508155,8.158849731871957,0.07930715460526316,0.25
376832,747.99,5092,74,127.34745425000001,184,0.001498919063649211,20.284414291381836,-0.787278315346492,-0.006924962048958007,3477,0.8270010948181152,0.015998065,61.34975767763037,0.10480057565789473,0.25
378880,755.61,5090,74,129.05770597,185,0.001498919063649211,50.97480010986328,-0.7516000008112506,-0.006607090021900244,3496,0.8642421364784241,0.018467277,76.5228241368344,0.08516652960526316,0.25
380928,756.07,5085,74,129.27528307999998,186,0.001498919063649211,1.387231707572937,-0.949152515122765,-0.008191762614603105,3515,0.9434481263160706,0.021308877,5.373289230622743,0.10428659539473684,0.25
382976,764.59,5081,75,130.62262874,187,0.001498919063649211,0.9855476021766663,-0.8725358686949077,-0.0060595462166116035,3534,0.891311764717102,0.015148571,12.968310153798052,0.15164987664473684,0.25
385024,771.98,5078,75,131.66846947000002,188,0.001498919063649211,0.23571638762950897,-0.9628709899751764,-0.005653916760102699,3553,0.994329035282135,0.019495524,0.7503716531944903,0.10945209703947369,0.25
387072,771.98,5080,76,132.05518993,189,0.001498919063649211,0.5807761549949646,-1.0013904532319622,-0.008153998973093143,3572,0.9931150674819946,0.022874907,1.2662831042942249,0.09508634868421052,0.25
389120,781.69,5079,76,134.88258885000002,190,0.001498919063649211,0.6204237937927246,-0.8764535333765181,-0.0069415537903918636,3591,0.9653322696685791,0.015319526,4.209589463315512,0.06674033717105263,0.25
391168,781.59,5075,77,134.5723633,191,0.001498919063649211,9.97407054901123,-0.7546052022984153,-0.00864195187674149,3610,0.9263641834259033,0.014595322,39.93170690536499,0.07701994243421052,0.25
393216,790.42,5077,77,134.14311813,192,0.001498919063649211,1.0699659585952759,-0.82743733337051,-0.005979545092773869,3629,0.8734512329101562,0.010574801,15.688711701255096,0.05620374177631579,0.25
395264,798.21,5079,77,135.23704102,193,0.001498919063649211,0.7703579068183899,-0.8319566492971621,-0.007673893137651153,3648,0.9884440302848816,0.018327486,2.3935897138557936,0.06175472861842105,0.25
397312,797.31,5077,78,135.87473639,194,0.001498919063649211,0.2549365758895874,-0.818325693670072,-0.00766770229184706,3667,0.9955218434333801,0.009912023,0.8602960756734798,0.05676912006578947,0.25
399360,805.77,5075,78,137.22381898000003,195,0.001498919063649211,13.513825416564941,-0.7841767056992179,-0.005150993023753951,3686,0.9336560368537903,0.014689273,31.14780657856088,0.06913034539473684,0.25
401408,815.13,5075,79,138.76617774,196,0.001498919063649211,0.2536696195602417,-0.8320360340570149,-0.003304448309599569,3705,0.9823132753372192,0.015738484,2.0014099568912855,0.07360197368421052,0.25
403456,815.28,5076,79,138.85101595,197,0.001498919063649211,15.25737190246582,-0.7332176150459992,-0.00417868365337582,3724,0.9388722777366638,0.011361344,22.46862472515357,0.12577097039473684,0.25
405504,815.28,5076,79,139.7099182,198,0.001498919063649211,0.6584253311157227,-0.8496781544465768,-0.005658851213459121,3743,0.8889312744140625,0.017292608,22.5382014132644,0.06535259046052631,0.25
407552,809.75,5077,80,141.25160193,199,0.001498919063649211,0.2950347065925598,-0.7536306596900287,-0.008723601965405243,3762,0.9945173859596252,0.015638473,1.201880738923424,0.08979235197368421,0.25
409600,818.79,5078,80,143.13509815,200,0.001498919063649211,46.33085250854492,-0.8163202240278846,-0.005762555458779006,3781,0.8790647387504578,0.00749693,75.54973212041352,0.019248560855263157,0.25
411648,803.67,5078,81,142.8055236,201,0.001498919063649211,0.35198742151260376,-0.895078887280665,-0.004767494513591947,3800,0.9876220226287842,0.016711324,2.055466986408359,0.08817331414473684,0.25
413696,803.59,5076,81,142.74340299999997,202,0.001498919063649211,25.234474182128906,-0.8324096802818147,-0.0015919008782427561,3819,0.7873746156692505,0.009236666,74.59818427186264,0.05676912006578947,0.25
415744,797.6,5076,81,143.66137809,203,0.001498919063649211,5.489914417266846,-0.9962397174615609,-0.007983180461451411,3838,0.9389315247535706,0.013472488,21.866058693120355,0.056126644736842105,0.25
417792,798.62,5077,82,145.56999854999998,204,0.001498919063649211,2.9450182914733887,-0.83929091299835,-0.007206615385305332,3857,0.900836706161499,0.027621694,25.71224025205562,0.1904296875,0.25
419840,798.08,5079,82,145.57733324,205,0.001498919063649211,9.882580757141113,-0.9352164801798368,-0.005754975062844001,3876,0.8431973457336426,0.02201505,39.11556304128546,0.11844675164473684,0.25
421888,798.08,5081,83,145.13020822,206,0.001498919063649211,2.5091910362243652,-0.993853014550711,-0.007783836732606257,3895,0.9240268468856812,0.012532734,18.47529179249939,0.04944490131578947,0.25
423936,800.64,5079,83,146.74160823,207,0.001498919063649211,0.716762125492096,-0.9462712791405226,-0.010274022630734467,3914,0.9894077777862549,0.018618792,1.930790314548894,0.07337068256578948,0.25
425984,793.78,5080,83,147.19965997,208,0.001498919063649211,16.456214904785156,-0.838050043896625,-0.011031784818777325,3933,0.9262150526046753,0.042611517,46.12564761701383,0.244140625,0.25
428032,800.83,5082,84,146.01922102999998,209,0.001498919063649211,13.627161979675293,-0.9305946230888367,-0.006839963883210562,3952,0.8459693193435669,0.010089663,40.580732122847905,0.06018708881578947,0.25
430080,792.85,5083,84,144.70708656,210,0.001498919063649211,0.13867944478988647,-1.0143479002933753,-0.024298414799360263,3971,0.9764512777328491,0.020251505,2.309286868493808,0.19297388980263158,0.25
432128,784.58,5084,84,143.25272662,211,0.001498919063649211,1.391570806503296,-0.9699662053271344,-0.020774011540006063,3990,0.9263108968734741,0.015452184,8.038779453227395,0.13232421875,0.25
434176,775.63,5080,85,141.14396258,212,0.001498919063649211,0.20912964642047882,-1.0105613819078396,-0.01399100658569583,4009,0.9378696084022522,0.014499793,5.711855162131159,0.05088404605263158,0.25
436224,750.97,5082,85,136.08110108,213,0.001498919063649211,4.887692451477051,-0.9086851081565807,-0.012738906003314218,4028,0.8355423808097839,0.020474881,65.3777660476534,0.08043791118421052,0.25
438272,750.97,5082,86,136.30764302,214,0.001498919063649211,28.022497177124023,-0.844682630739714,-0.007297386277442504,4047,0.8770737648010254,0.010899527,102.61291744834499,0.02945106907894737,0.25
440320,759.26,5083,86,136.82028168,215,0.001498919063649211,0.4000559449195862,-0.9779462551600054,-0.008347089382464458,4066,0.9329590797424316,0.014966983,7.310470483020732,0.10392680921052631,0.25
442368,759.26,5081,87,136.70578046999998,216,0.001498919063649211,0.5737988352775574,-0.95300980853407,-0.01148861747749738,4085,0.9652518630027771,0.0111930035,4.832736670970917,0.04936780427631579,0.25
444416,748.94,5082,87,137.41832749,217,0.001498919063649211,0.39491599798202515,-0.987028790147681,-0.005849998625068876,4104,0.9893940687179565,0.009463717,1.5480128111023652,0.1025647615131579,0.25
446464,749.86,5084,87,139.69396827999998,218,0.001498919063649211,8.837531089782715,-0.798569335357139,-0.0030501923404364405,4123,0.8199037909507751,0.017551374,69.88619378365968,0.08365028782894737,0.25
448512,749.86,5085,88,139.60772838,219,0.001498919063649211,9.877293586730957,-0.7979493890153734,-0.009091144314305367,4142,0.9548501968383789,0.014641976,17.49712442567474,0.1230211759868421,0.25
450560,758.22,5087,88,141.98426214999998,220,0.001498919063649211,0.37016990780830383,-0.8291985239637526,-0.012748767030547913,4161,0.9761106967926025,0.011320174,3.5266241631225537,0.04741467927631579,0.25
452608,764.45,5086,88,144.41961559,221,0.001498919063649211,0.23001384735107422,-0.8464573088445162,-0.008463779674217986,4180,0.9795771837234497,0.011223059,3.596474450277655,0.05756578947368421,0.25
454656,779.99,5085,89,145.07257760000002,222,0.001498919063649211,24.052995681762695,-0.8080021382162446,-0.009757104198031715,4199,0.9138507843017578,0.051133253,49.74539330131129,0.18611225328947367,0.25
456704,785.72,5086,89,144.04522912000002,223,0.001498919063649211,0.5975102782249451,-0.9313152652037772,-0.01746380542968645,4218,0.9904009699821472,0.019869644,1.8451913865773302,0.138671875,0.25
458752,785.72,5087,90,143.41066413999997,224,0.001498919063649211,0.24450290203094482,-0.8580113570941122,-0.010464062748819981,4237,0.9951485991477966,0.010683256,1.228250208261766,0.08868729440789473,0.25
460800,793.78,5086,90,144.79849475999998,225,0.001498919063649211,0.40997588634490967,-0.8534110960991759,-0.012595194597164855,4256,0.992736279964447,0.01201603,1.5404532651760077,0.08228824013157894,0.25
462848,793.78,5086,90,145.02864891,226,0.001498919063649211,0.338395357131958,-0.8506782599969914,-0.011046684811222613,4275,0.9916837215423584,0.0122568235,1.3747325002362853,0.035721628289473686,0.25
464896,793.78,5085,91,145.01558736999996,227,0.001498919063649211,0.29673126339912415,-0.8856239291398149,-0.01158155463513379,4294,0.9938513040542603,0.019583486,1.1273144018885337,0.12970291940789475,0.25
466944,793.78,5082,91,145.21099188,228,0.001498919063649211,0.3271644115447998,-0.8207530442037081,-0.013759912121857173,4313,0.9952008724212646,0.012611341,1.244533841743281,0.10896381578947369,0.25
468992,800.49,5083,92,144.09232730000002,229,0.001498919063649211,0.3078058063983917,-0.8051917901948878,-0.009916271318951132,4332,0.9967656135559082,0.0107313525,0.7307314988421766,0.06016138980263158,0.25
471040,800.14,5082,92,144.73459145999996,230,0.001498919063649211,0.2510205805301666,-0.8189813996616163,-0.010710448354458143,4351,0.9963614344596863,0.01630635,0.8835931618354822,0.11921772203947369,0.25
473088,800.14,5079,93,146.14404645,231,0.001498919063649211,4.412186145782471,-0.7533394517867189,-0.002890746270024561,4370,0.9311680197715759,0.00835661,27.18577427691535,0.03716077302631579,0.25
475136,800.14,5080,93,146.701643,232,0.001498919063649211,0.07585585862398148,-0.8701541996315906,-0.008367495576079053,4389,0.991755485534668,0.0060643675,1.028593238933306,0.07401315789473684,0.25
477184,800.14,5082,93,146.34652335,233,0.001498919063649211,0.348739892244339,-0.8282113016435975,-0.004502765402369397,4408,0.9947279095649719,0.005105909,0.9773920833280212,0.03394839638157895,0.25
479232,807.07,5079,94,144.89166168,234,0.001498919063649211,0.14980143308639526,-0.8119130240459191,-0.00836634961275482,4427,0.9935171008110046,0.011352742,0.8871881155983398,0.05553556743421053,0.25
481280,807.07,5068,94,144.95347598,235,0.001498919063649211,0.1284087896347046,-0.8550270376236815,-0.008634977701340654,4446,0.976141095161438,0.009924836,2.78793936379646,0.05723170230263158,0.25
483328,800.7,5070,95,149.18632100000002,236,0.001498919063649211,0.1760617196559906,-0.7124181762337685,-0.013733714141907464,4465,0.9967001676559448,0.03411723,0.8112946538940856,0.11518297697368421,0.25
485376,770.88,5071,95,151.15211409000003,237,0.001498919063649211,62.04106903076172,-0.5027853015222048,-0.015696222863258107,4484,0.798419177532196,0.07437046,219.2331613741423,0.1059827302631579,0.25
487424,749.46,5065,96,159.58017096,238,0.001498919063649211,33.11212158203125,-0.636298201193935,-0.004195283848706535,4503,0.8320876359939575,0.012981672,120.84336453989933,0.046797902960526314,0.25
489472,723.53,5067,96,161.02224374,239,0.001498919063649211,34.43369674682617,-0.6439769820947396,-0.005165552772508052,4522,0.8584011793136597,0.009146439,89.47468865545173,0.03623560855263158,0.25
491520,682.64,5069,96,162.26884266000002,240,0.001498919063649211,18.66506004333496,-0.6436312590774736,-0.0076966239966599174,4541,0.9020618200302124,0.008945284,53.437275447343524,0.030556126644736843,0.25
493568,626.16,5072,97,168.24391356,241,0.001498919063649211,47.294883728027344,-0.6036633947177937,-0.006395161197839403,4560,0.8196406364440918,0.017966023,173.36430609853645,0.04620682565789474,0.25
495616,620.35,5074,97,177.22179482000004,242,0.001498919063649211,16.478025436401367,-0.5921930529569325,-0.0065890310491484244,4579,0.8345419764518738,0.014935285,82.44124722480774,0.05766858552631579,0.25
497664,612.17,5075,98,182.14045737,243,0.001498919063649211,5.779824733734131,-0.580687335839397,-0.005301415047142655,4598,0.8129817843437195,0.012345849,29.492060353881435,0.034025493421052634,0.25
499712,565.74,5078,98,186.70534173000004,244,0.001498919063649211,32.15227508544922,-0.6461693828827456,-0.007952135984516261,4617,0.6520333290100098,0.016465541,142.620093922866,0.11315275493421052,0.25
501760,561.25,5079,98,188.06284621999998,245,0.001498919063649211,32.86315155029297,-0.5725986961471407,-0.004121229054075421,4636,0.9195532202720642,0.00615355,138.10042948471872,0.03245785361842105,0.25
503808,531.24,5078,99,193.25220325,246,0.001498919063649211,29.469436645507812,-0.4908334246199382,-0.005290183682901491,4655,0.9334098696708679,0.014935945,74.5704407817439,0.04081003289473684,0.25
505856,485.56,5078,99,196.27136503000003,247,0.001498919063649211,2.3426809310913086,-0.5848091507428571,-0.007027350317098592,4674,0.9184760451316833,0.01767206,15.495058945919338,0.09984066611842106,0.25
507904,446.83,5078,100,200.60899344000006,248,0.001498919063649211,5.106354713439941,-0.6084318674708667,-0.00830245496380437,4693,0.9315682649612427,0.00832219,37.2089647807573,0.061009457236842105,0.25
509952,384.62,5081,100,206.81837672999998,249,0.001498919063649211,29.177001953125,-0.608037312564097,-0.004373271033584483,4712,0.9438160061836243,0.005516194,88.07618690164466,0.016190378289473683,0.25
512000,314.65,5083,100,214.97519317,250,0.001498919063649211,54.00183868408203,-0.5427052055142427,-0.009868882804814922,4731,0.7446449995040894,0.011081453,129.52509084500764,0.05985300164473684,0.25
514048,296.18,5086,101,216.61832777,251,0.001498919063649211,51.98027801513672,-0.5866450283088183,-0.011261869384294474,4750,0.8733984231948853,0.013354339,103.1686883725618,0.06293688322368421,0.25
516096,285.39,5084,101,210.65349743000002,252,0.001498919063649211,7.256505489349365,-0.5794329835396064,-0.007243213896321035,4769,0.9212379455566406,0.008640026,41.74434474267458,0.04309724506578947,0.25
